Feature,End Point,Module,Controller,Body (application/json),Authentication,Success Response,Status
Register,POST /auth/register,Auth,Auth,"firstname, lastname, email, password, phone?",Public,message,[implemented]
Login,POST /auth/login,Auth,Auth,"email, password",Public,"access_token, user",[implemented]
Get authenticated user,GET /auth/me,Auth,Auth,-,Bearer Auth,user,[implemented]
Get profile,GET /users/profile,User,User,-,Bearer Auth,user,[implemented]
Update profile,PATCH /users/profile,User,User,"firstname?, lastname?, phone?",Bearer Auth,user,[implemented]
Change password,PATCH /users/password,User,User,"oldPassword, newPassword",Bearer Auth,message,[implemented]
Upload avatar,PATCH /users/avatar,User,User,avatar multipart/form-data,Bearer Auth,avatarUrl,[planned]
Create portfolio,POST /portfolios,Portfolio,Portfolio,"name, description?, color?, icon?, isFavorite?, isDefault?",Bearer Auth,portfolio,[implemented]
List portfolios,GET /portfolios,Portfolio,Portfolio,-,Bearer Auth,Portfolio[],[implemented]
Get portfolio by id,GET /portfolios/:id,Portfolio,Portfolio,-,Bearer Auth,portfolio,[implemented]
Update portfolio,PATCH /portfolios/:id,Portfolio,Portfolio,"name?, description?, color?, icon?, isFavorite?, isDefault?",Bearer Auth,portfolio,[implemented]
Delete portfolio,DELETE /portfolios/:id,Portfolio,Portfolio,-,Bearer Auth,message,[implemented]
Create category,POST /categories,Category,Category,"name, icon?, color?, description?, isDefault?",Bearer Auth,category,[implemented]
List categories,GET /categories,Category,Category,-,Bearer Auth,Category[],[implemented]
Get category by id,GET /categories/:id,Category,Category,-,Bearer Auth,category,[implemented]
Update category,PATCH /categories/:id,Category,Category,"name?, icon?, color?, description?, isDefault?",Bearer Auth,category,[implemented]
Delete category,DELETE /categories/:id,Category,Category,-,Bearer Auth,message,[implemented]
Create investment,POST /investments,Investment,Investment,"portfolioId, categoryId, assetName, symbol, assetType, purchasePrice, currentPrice, quantity, averageCost, riskLevel, investmentDate, note?",Bearer Auth,investment,[implemented]
List investments,GET /investments,Investment,Investment,"Query: page?, limit?, search?, portfolioId?, categoryId?, assetType?, riskLevel?, status?, dateFrom?, dateTo?",Bearer Auth,"Investment[], pagination",[implemented]
Get investment by id,GET /investments/:id,Investment,Investment,-,Bearer Auth,investment,[implemented]
Update investment,PATCH /investments/:id,Investment,Investment,investment fields optional,Bearer Auth,investment,[implemented]
Delete investment,DELETE /investments/:id,Investment,Investment,-,Bearer Auth,message,[implemented]
Create transaction,POST /transactions,Transaction,Transaction,"investmentId, type, quantity?, price?, amount, fee?, tax?, transactionDate, note?",Bearer Auth,transaction,[implemented]
List transactions,GET /transactions,Transaction,Transaction,"Query: page?, limit?, dateFrom?, dateTo?",Bearer Auth,"Transaction[], pagination",[implemented]
Get transaction by id,GET /transactions/:id,Transaction,Transaction,-,Bearer Auth,transaction,[implemented]
Update transaction,PATCH /transactions/:id,Transaction,Transaction,transaction fields optional,Bearer Auth,transaction,[implemented]
Delete transaction,DELETE /transactions/:id,Transaction,Transaction,-,Bearer Auth,message,[implemented]
Create goal,POST /goals,Goal,Goal,"title, description?, targetAmount, currentAmount, deadline, status?",Bearer Auth,goal,[implemented]
List goals,GET /goals,Goal,Goal,-,Bearer Auth,Goal[],[implemented]
Get goal by id,GET /goals/:id,Goal,Goal,-,Bearer Auth,goal,[implemented]
Update goal,PATCH /goals/:id,Goal,Goal,goal fields optional,Bearer Auth,goal,[implemented]
Delete goal,DELETE /goals/:id,Goal,Goal,-,Bearer Auth,message,[implemented]
Dashboard summary,GET /dashboard,Dashboard,Dashboard,-,Bearer Auth,"summary, assetAllocation, goals, recentTransactions",[implemented]
Create notification (Admin),POST /notifications,Notification,Notification,"userId, title, message, type?",Bearer Auth + Admin,notification,[implemented]
List notifications,GET /notifications,Notification,Notification,-,Bearer Auth,Notification[],[implemented]
Mark notification as read,PATCH /notifications/:id/read,Notification,Notification,-,Bearer Auth,notification,[implemented]
Delete notification,DELETE /notifications/:id,Notification,Notification,-,Bearer Auth,message,[implemented]
List announcements,GET /announcements,Announcement,Announcement,-,Public,Announcement[],[implemented]
Get announcement by id,GET /announcements/:id,Announcement,Announcement,-,Public,announcement,[implemented]
List all announcements (Admin),GET /admin/announcements,Announcement,Announcement,-,Bearer Auth + Admin,Announcement[],[implemented]
Create announcement,POST /admin/announcements,Announcement,Announcement,"title, message, type, imageUrl?, isPublished?",Bearer Auth + Admin,announcement,[implemented]
Update announcement,PATCH /admin/announcements/:id,Announcement,Announcement,announcement fields optional,Bearer Auth + Admin,announcement,[implemented]
Delete announcement,DELETE /admin/announcements/:id,Announcement,Announcement,-,Bearer Auth + Admin,message,[implemented]
Export portfolio CSV report,GET /reports/portfolio,Report,Report,"Query: portfolioId?, dateFrom?, dateTo?",Bearer Auth,CSV file,[implemented]
Export transaction CSV report,GET /reports/transactions,Report,Report,"Query: portfolioId?, dateFrom?, dateTo?",Bearer Auth,CSV file,[implemented]
List users,GET /admin/users,Admin,Admin,"Query: page?, limit?, search?, status?",Bearer Auth + Admin,"User[], pagination",[planned]
Get user by id,GET /admin/users/:id,Admin,Admin,-,Bearer Auth + Admin,user,[planned]
Update user status,PATCH /admin/users/:id/status,Admin,Admin,status,Bearer Auth + Admin,user,[planned]
Delete user,DELETE /admin/users/:id,Admin,Admin,-,Bearer Auth + Admin,message,[planned]
List activity logs,GET /admin/activity-logs,Admin,Admin,"Query: page?, limit?, userId?, action?, module?",Bearer Auth + Admin,"ActivityLog[], pagination",[planned]
